Tamaño de la matriz, Número de operaciones, Duración (s)
300, 37037.0, 8.2141506
325, 29130.0, 19.8779788
350, 23323.0, 4.8947817
375, 18962.0, 4.9882375
400, 15625.0, 33.8385959
425, 13026.0, 8.1698862
450, 10973.0, 72.9784581
475, 9330.0, 87.8844476
500, 8000.0, 70.1061005
525, 6910.0, 49.7790932
550, 6010.0, 67.100191
575, 5260.0, 7.5208775
600, 4629.0, 13.4276227
625, 4096.0, 7.7990149
650, 3641.0, 46.0482852
675, 3251.0, 59.6420561
700, 2915.0, 58.9095014
725, 2624.0, 25.3013938
