Tamaño de la matriz, Duración (s)
0, 1.213236475
100, 0.009965811
200, 0.001689589
300, 0.002051808
400, 0.001990339
500, 0.003195198
600, 0.005067257
700, 0.006707631
800, 0.00893278
900, 0.012228065
1000, 0.017321528
1100, 0.025128042
1200, 0.029790797
1300, 0.039463953
1400, 0.05627032
1500, 0.056476812
1600, 0.068677632
1700, 0.078362221
1800, 0.085857745
1900, 0.107967886
2000, 0.126487512
2100, 0.149097114
2200, 0.167414976
2300, 0.169861325
2400, 0.204054356
2500, 0.211515903
2600, 0.233974847
2700, 0.277519136
2800, 0.372147056
2900, 0.366884558
3000, 0.363995638
3100, 0.398383736
3200, 0.465753435
3300, 0.660001177
3400, 0.551966158
3500, 0.555718306
3600, 0.619230797
3700, 0.721943113
3800, 0.81495537
3900, 0.853475761
4000, 0.93539506
4100, 1.045328622
4200, 1.210830543
4300, 1.076622041
4400, 1.177507406
4500, 1.273114829
4600, 1.38350391
4700, 1.403009259
4800, 1.498663098
4900, 1.581304874
5000, 1.677769596
5100, 1.796607608
5200, 1.861131056
5300, 2.171668449
5400, 2.174505855
5500, 2.209993045
5600, 2.309632633
5700, 2.489429311
5800, 2.591959199
5900, 2.881345071
6000, 2.862345047
6100, 3.371651453
6200, 3.589239702
6300, 3.887132205
6400, 3.851683636
6500, 4.580085587
6600, 3.90730648
6700, 4.206952632
6800, 4.236057658
6900, 4.455144546
7000, 4.6254416
7100, 4.86871985
7200, 5.021405675
7300, 5.257748015
7400, 6.171584454
7500, 5.815811176
7600, 6.381718689
7700, 6.726461312
7800, 6.922790591
7900, 6.705309036
8000, 6.924780633
